team,year,player_name,club,age
Argentina,2026,Walter Benítez,PSV Eindhoven,33
Argentina,2026,Cristian Romero,Tottenham,28
Argentina,2026,Lisandro Martínez,Manchester United,28
Argentina,2026,Nicolás Otamendi,Benfica,38
Argentina,2026,Nahuel Molina,Atletico Madrid,28
Argentina,2026,Gonzalo Montiel,Sevilla,29
Argentina,2026,Nicolás Tagliafico,Lyon,33
Argentina,2026,Marcos Acuña,River Plate,34
Argentina,2026,German Pezzella,River Plate,34
Argentina,2026,Rodrigo De Paul,Atletico Madrid,32
Argentina,2026,Enzo Fernández,Chelsea,25
Argentina,2026,Alexis Mac Allister,Liverpool,27
Argentina,2026,Leandro Paredes,Roma,31
Argentina,2026,Giovani Lo Celso,Betis,30
Argentina,2026,Exequiel Palacios,Leverkusen,27
Argentina,2026,Guido Rodríguez,West Ham,32
Argentina,2026,Lionel Messi,Inter Miami,38
Argentina,2026,Ángel Di María,Benfica,38
Argentina,2026,Lautaro Martínez,Inter Milan,28
Argentina,2026,Julián Álvarez,Atletico Madrid,26
Argentina,2026,Alejandro Garnacho,Manchester United,21
Argentina,2026,Nicolás González,Juventus,28
Argentina,2026,Valentin Carboni,Marseille,21
Germany,2026,Marc-André ter Stegen,Barcelona,34
Germany,2026,Oliver Baumann,Hoffenheim,36
Germany,2026,Alexander Nübel,Stuttgart,29
Germany,2026,Antonio Rüdiger,Real Madrid,33
Germany,2026,Jonathan Tah,Leverkusen,30
Germany,2026,Nico Schlotterbeck,Borussia Dortmund,26
Germany,2026,Waldemar Anton,Borussia Dortmund,29
Germany,2026,Maximilian Mittelstädt,Stuttgart,29
Germany,2026,David Raum,RB Leipzig,28
Germany,2026,Benjamin Henrichs,RB Leipzig,29
Germany,2026,Joshua Kimmich,Bayern Munich,31
Germany,2026,Robert Andrich,Leverkusen,31
Germany,2026,Pascal Groß,Borussia Dortmund,34
Germany,2026,Aleksandar Pavlović,Bayern Munich,22
Germany,2026,Emre Can,Borussia Dortmund,32
Germany,2026,Florian Wirtz,Leverkusen,23
Germany,2026,Jamal Musiala,Bayern Munich,23
Germany,2026,Ilkay Gündogan,Barcelona,35
Germany,2026,Leroy Sané,Bayern Munich,30
Germany,2026,Thomas Müller,Bayern Munich,36
Germany,2026,Kai Havertz,Arsenal,27
Germany,2026,Niclas Füllkrug,West Ham,33
Germany,2026,Deniz Undav,Stuttgart,29
Germany,2026,Maximilian Beier,Borussia Dortmund,23
Brazil,2026,Alisson Becker,Liverpool,33
Brazil,2026,Ederson Moraes,Manchester City,32
Brazil,2026,Bento Krepski,Al-Nassr,26
Brazil,2026,Marquinhos Aoás,PSG,32
Brazil,2026,Gabriel Magalhães,Arsenal,28
Brazil,2026,Éder Militão,Real Madrid,28
Brazil,2026,Lucas Beraldo,PSG,22
Brazil,2026,Danilo da Silva,Juventus,34
Brazil,2026,Yan Couto,Borussia Dortmund,24
Brazil,2026,Wendell Nascimento,Porto,32
Brazil,2026,Guilherme Arana,Atlético Mineiro,29
Brazil,2026,Bruno Guimarães,Newcastle,28
Brazil,2026,Douglas Luiz,Juventus,28
Brazil,2026,João Gomes,Wolverhampton,25
Brazil,2026,Lucas Paquetá,West Ham,28
Brazil,2026,Andreas Pereira,Fulham,30
Brazil,2026,Éderson dos Santos,Atalanta,26
Brazil,2026,Vinícius Júnior,Real Madrid,25
Brazil,2026,Rodrygo Goes,Real Madrid,25
Brazil,2026,Endrick Felipe,Real Madrid,19
Brazil,2026,Raphinha Dias,Barcelona,29
Brazil,2026,Gabriel Martinelli,Arsenal,25
Brazil,2026,Savinho Moreira,Manchester City,22
Brazil,2026,Neymar da Silva,Al-Hilal,34
